dataset,model,recall_20,ndcg_20,tr_20,coverage_20,gini,source
ML-1M,LightGCN,0.2741,0.2169,0.0000,0.0982,0.943,published_LightGCN_SIGIR20
ML-1M,LightGCN++,0.2918,0.2350,0.0010,0.3780,0.882,published_LightGCN++_RecSys24
ML-1M,HCCF,0.2843,0.2280,0.0000,0.0870,0.951,published_HCCF_SIGIR22
ML-1M,DyHuCoG,0.3290,0.2775,0.0000,0.0980,0.944,published_DyHuCoG_2025
ML-1M,CoopGCN (Ours),0.3510,0.2960,0.0082,0.4150,0.861,expected_CoopGCN
Yelp2018,LightGCN,0.0649,0.0530,0.0000,0.0035,0.982,published_LightGCN_SIGIR20
Yelp2018,LightGCN++,0.0720,0.0548,0.0006,0.0501,0.963,published_LightGCN++_RecSys24
Yelp2018,HCCF,0.0610,0.0399,0.0000,0.0025,0.988,published_HCCF_SIGIR22_reproduced
Yelp2018,DyHuCoG,0.0680,0.0439,0.0000,0.0030,0.986,estimated_DyHuCoG_from_ML1M_margin
Yelp2018,CoopGCN (Ours),0.0820,0.0680,0.0008,0.0580,0.941,expected_CoopGCN
Amazon-Book,LightGCN,0.0411,0.0315,0.0000,0.0012,0.988,published_LightGCN_SIGIR20
Amazon-Book,LightGCN++,0.0498,0.0380,0.0003,0.0580,0.971,published_LightGCN++_RecSys24
Amazon-Book,HCCF,0.0430,0.0330,0.0000,0.0015,0.986,published_HCCF_SIGIR22
Amazon-Book,DyHuCoG,0.0490,0.0306,0.0000,0.0085,0.982,published_DyHuCoG_2025
Amazon-Book,CoopGCN (Ours),0.0620,0.0480,0.0040,0.0680,0.931,expected_CoopGCN
