dataset,model,family,ndcg_20,tr_20,coverage_20
ML-100K,CoopGCN,graph,0.1826,0.0106,46.9
ML-100K,LightGCN++,graph,0.1627,0.0100,46.5
ML-100K,GAT-CF,graph,0.1943,0.0022,19.4
ML-100K,LightGCN,graph,0.1842,0.0036,27.8
ML-100K,HPCF,graph,0.1747,0.0020,25.7
ML-100K,HCCF,graph,0.1723,0.0019,21.2
ML-100K,DyHuCoG,graph,0.1718,0.0026,20.5
ML-100K,RecDCL,non-graph,0.3103,0.0000,13.1
ML-100K,NCF,non-graph,0.2939,0.0000,6.54
ML-100K,MF,non-graph,0.1467,0.0052,34.5
ML-1M,CoopGCN,graph,0.1994,0.0075,40.7
ML-1M,LightGCN++,graph,0.2054,0.0008,37.3
ML-1M,GAT-CF,graph,0.2096,0.0001,10.0
ML-1M,LightGCN,graph,0.2128,0.0000,9.82
ML-1M,HPCF,graph,0.2141,0.0000,9.23
ML-1M,HCCF,graph,0.2070,0.0000,8.23
ML-1M,DyHuCoG,graph,0.2114,0.0000,9.42
ML-1M,RecDCL,non-graph,0.2997,0.0000,5.42
ML-1M,NCF,non-graph,0.2883,0.0000,4.80
ML-1M,MF,non-graph,0.2043,0.0003,17.1
Gowalla,CoopGCN,graph,0.1089,0.0104,7.95
Gowalla,LightGCN++,graph,0.1092,0.0116,8.06
Gowalla,GAT-CF,graph,0.0038,0.0005,10.3
Gowalla,LightGCN,graph,0.0348,0.0000,0.20
Gowalla,HPCF,graph,0.0278,0.0000,0.39
Gowalla,HCCF,graph,0.0291,0.0000,0.35
Gowalla,DyHuCoG,graph,0.0338,0.0000,0.32
Gowalla,RecDCL,non-graph,0.0434,0.0000,0.27
Gowalla,NCF,non-graph,0.0444,0.0000,0.79
Gowalla,MF,non-graph,0.0004,0.0006,6.70
Yelp2018,CoopGCN,graph,0.0376,0.0006,5.36
Yelp2018,LightGCN++,graph,0.0359,0.0006,5.01
Yelp2018,GAT-CF,graph,0.0014,0.0003,0.13
Yelp2018,LightGCN,graph,0.0145,0.0000,0.35
Yelp2018,HPCF,graph,0.0110,0.0000,0.48
Yelp2018,HCCF,graph,0.0113,0.0000,0.25
Yelp2018,DyHuCoG,graph,0.0144,0.0000,0.35
Yelp2018,RecDCL,non-graph,0.0109,0.0000,0.25
Yelp2018,NCF,non-graph,0.0129,0.0000,0.84
Yelp2018,MF,non-graph,0.0006,0.0006,6.82
Amazon-Book,CoopGCN,graph,0.0235,0.0036,6.47
Amazon-Book,LightGCN++,graph,0.0222,0.0027,5.44
Amazon-Book,GAT-CF,graph,0.0002,0.0000,0.05
Amazon-Book,LightGCN,graph,0.0002,0.0000,0.05
Amazon-Book,HPCF,graph,0.0003,0.0000,0.05
Amazon-Book,HCCF,graph,0.0002,0.0000,0.05
Amazon-Book,DyHuCoG,graph,0.0002,0.0000,0.05
Amazon-Book,RecDCL,non-graph,0.0042,0.0000,0.05
Amazon-Book,NCF,non-graph,0.0062,0.0001,0.54
Amazon-Book,MF,non-graph,0.0003,0.0000,0.05
